flight_iata,Aircraft_Model,Aircraft_isTurboProp,Aircraft_isWidebody
PR502,Airbus A321,False,False
AK391,Airbus A320,False,False
IX687,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH604,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ211,Boeing 777-300ER,False,True
TR284,Airbus A321neo,False,False
TR360,Airbus A320,False,False
UK106,Airbus A321neo,False,False
AK707,Airbus A320,False,False
OD502,Boeing 737MAX 8 Passenger,False,False
OD803,Boeing 737-800 Passenger,False,False
VZ220,Airbus A321,False,False
AK204,Airbus A320,False,False
OD184,Boeing 737MAX 8 Passenger,False,False
OD316,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ105,Airbus A350-900,False,True
WE42,Airbus A320 (sharklets),False,False
QZ263,Airbus A320,False,False
SQ440,None,None,None
AK376,Airbus A320,False,False
QZ551,Airbus A320,False,False
MH2710,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
PG223,Airbus A319,False,False
QV634,ATR 72,True,False
UB20,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
VZ304,Airbus A320,False,False
5J814,Airbus A321neo,False,False
TR438,None,None,None
UA2,Boeing 787-9,False,True
EK345,Boeing 777-300ER,False,True
FD312,Airbus A320,False,False
8M336,Airbus A320,False,False
PG129,Airbus A319,False,False
WE319,Airbus A320 (sharklets),False,False
EK349,None,None,None
OD173,Boeing 737MAX 8 Passenger,False,False
WE104,Airbus A320,False,False
SQ432,Boeing 737MAX 8 Passenger,False,False
AK6432,Airbus A320,False,False
AK648,Airbus A320,False,False
ID7289,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
OD520,Boeing 737MAX 8 Passenger,False,False
KC932,Airbus A321neo,False,False
VZ562,Airbus A320,False,False
AK704,Airbus A320,False,False
OD2204,None,None,None
FD410,None,None,None
PG131,None,None,None
PG275,Airbus A319,False,False
SQ245,Airbus A350-900,False,True
AK6224,Airbus A320,False,False
JL32,Boeing 787-9,False,True
ID7152,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ178,Airbus A350-900,False,True
SQ728,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
TR276,Airbus A320,False,False
MH129,Airbus A330-300,False,True
TR24,Boeing 787-9,False,True
VZ350,Airbus A320,False,False
VZ980,Airbus A320,False,False
QG523,Airbus A320,False,False
WY822,Airbus A330-200,False,True
QZ125,Airbus A320,False,False
VZ620,Airbus A321,False,False
KE660,Boeing 777-300ER,False,True
VZ370,Airbus A320,False,False
WE301,Airbus A320,False,False
SQ708,Boeing 787-10,False,True
MH2610,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
AK5746,Airbus A320,False,False
SQ223,Airbus A350-900,False,True
SQ956,Airbus A350-900,False,True
UK116,Airbus A321neo,False,False
TR606,None,None,None
QR845,Boeing 777-300ER,False,True
EK375,Airbus A380-800 Passenger,False,True
TR609,Airbus A321neo,False,False
WE285,Airbus A320 (sharklets),False,False
MH1051,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH752,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
PG941,ATR 72,True,False
AK6306,Airbus A320,False,False
MH141,Airbus A330-300,False,True
MH170,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ12,Boeing 777-300ER,False,True
TR216,Airbus A320,False,False
SQ108,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ32,Airbus A350-900,False,True
MH366,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
3K512,Airbus A320,False,False
PG711,Airbus A319,False,False
MH102,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ172,Boeing 737MAX 8 Passenger,False,False
SQ192,Airbus A350-900,False,True
SQ910,Airbus A350-900,False,True
WY818,Boeing 787-9,False,True
AK5136,Airbus A320,False,False
